\Pi_{1}=\frac{\lambda_{TAS}*W_{TAS}}{c_{TAS}},\Pi_{2}=\frac{\mu_{TAS}}{\lambda_{TAS}},\Pi_{3}=\frac{\chi_{TAS}}{\lambda_{TAS}},\Pi_{4}=\frac{K_{TAS}}{c_{TAS}},\Pi_{5}=\frac{L_{TAS}}{c_{TAS}},O=\Pi_{Occ}=\frac{L}{K},\eta=\Pi_{Eff}=\frac{K*\chi}{c*\mu},S=\Pi_{Stall}=\ln\left(\frac{\lambda*W}{K}\right),\Pi_{Stall},\Pi_{Occ},\Pi_{Eff}
52920.75555279744,1.1314616894373433,1.0,15.0,6.422107280105117,0.42814048534034116,13.257187706867251,3528.050370186496,3528.050370186496,0.42814048534034116,13.257187706867251
1597582.6763399206,0.417603549541454,1.0,4.0,0.21831462650734015,0.05457865662683504,9.578462645713058,399395.66908498015,399395.66908498015,0.05457865662683504,9.578462645713058
32319.91196656493,1.8773906301820964,1.0,12.0,5.287190954161819,0.44059924618015156,6.391850373108587,2693.325997213744,2693.325997213744,0.44059924618015156,6.391850373108587
613879.7706865234,0.36509058109226067,1.0,11.0,0.5749605269072613,0.05226913880975103,30.129509140144677,55807.25188059304,55807.25188059304,0.05226913880975103,30.129509140144677
4932.166440613018,0.8231622495454258,1.0,8.0,2.7652429579680717,0.34565536974600897,9.718618661652467,616.5208050766272,616.5208050766272,0.34565536974600897,9.718618661652467
123787.51982951864,1.3924596872729853,1.0,7.5,1.32309387213375,0.1764125162845,5.386152337873505,16505.00264393582,16505.00264393582,0.1764125162845,5.386152337873505
85307.4465191734,1.6967230487525142,1.0,6.5,2.2050395295898766,0.33923685070613485,3.830913951913962,13124.222541411295,13124.222541411295,0.33923685070613485,3.830913951913962
1082751.6563220082,0.3643629506613237,1.0,6.0,0.18843566959660585,0.03140594493276764,16.46709685798163,180458.60938700137,180458.60938700137,0.03140594493276764,16.46709685798163
1327556.9826372773,0.33983517340365726,1.0,5.0,0.17496926623854867,0.03499385324770973,14.713014988772173,265511.3965274555,265511.3965274555,0.03499385324770973,14.713014988772173
311527.4355337728,0.1294636322771817,1.0,5.5,0.06500419724720835,0.011818944954037883,42.48297304237917,56641.35191523142,56641.35191523142,0.011818944954037883,42.48297304237917
552761.9096692293,0.4615874231533109,1.0,4.0,0.24376546495536508,0.06094136623884127,8.66574737386518,138190.47741730732,138190.47741730732,0.06094136623884127,8.66574737386518
275305.213781344,0.5228166996462065,1.0,12.0,1.0927955731392875,0.0910662977616073,22.952595064619167,22942.101148445334,22942.101148445334,0.0910662977616073,22.952595064619167
53725.74844943359,0.4650800637443526,1.0,12.0,0.8688194527499248,0.07240162106249373,25.802009020529024,4477.145704119465,4477.145704119465,0.07240162106249373,25.802009020529024
59993.26440228656,1.6793282115836115,1.0,7.0,2.2225300441001705,0.3175042920143101,4.168333475085838,8570.466343183793,8570.466343183793,0.3175042920143101,4.168333475085838
50136.209407190894,1.362293284342887,1.0,8.0,3.659268066896687,0.45740850836208585,5.872450588977882,6267.026175898862,6267.026175898862,0.45740850836208585,5.872450588977882
21710.01053674272,1.3182685383005368,1.0,14.0,6.051882058001761,0.4322772898572686,10.619990990643139,1550.7150383387657,1550.7150383387657,0.4322772898572686,10.619990990643139
391674.0748129585,0.39438108198440697,1.0,7.5,0.20516832867503393,0.02735577715667119,19.01713936749262,52223.20997506113,52223.20997506113,0.02735577715667119,19.01713936749262
112898.8934490689,3.1231780905813786,1.0,4.0,1.962312126326067,0.49057803158151675,1.2807466894260267,28224.723362267225,28224.723362267225,0.49057803158151675,1.2807466894260267
182979.16030754842,0.249681323236045,1.0,15.0,0.33276703383448414,0.02218446892229894,60.076580040467114,12198.610687169894,12198.610687169894,0.02218446892229894,60.076580040467114
196053.2195109294,1.13483853175159,1.0,4.0,0.8029924976869542,0.20074812442173856,3.5247305128299766,49013.30487773235,49013.30487773235,0.20074812442173856,3.5247305128299766
242593.90737935324,0.15850390915739926,1.0,7.0,0.18835646280691223,0.026908066115273174,44.16294864405385,34656.27248276475,34656.27248276475,0.026908066115273174,44.16294864405385
18313.19760950796,0.07848912905539042,1.0,11.0,0.08517439297740391,0.0077431266343094465,140.14679653582613,1664.8361463189053,1664.8361463189053,0.0077431266343094465,140.14679653582613
42243.13464391422,3.0251740939010823,1.0,5.5,2.5870119363459754,0.4703658066083592,1.818077184743947,7680.569935257132,7680.569935257132,0.4703658066083592,1.818077184743947
316173.81741353666,0.09370762901183144,1.0,6.5,0.046956898041938554,0.00722413816029824,69.36468320182678,48642.12575592872,48642.12575592872,0.00722413816029824,69.36468320182678
14448.203186457431,0.5299679470179577,1.0,9.0,1.110005707259329,0.12333396747325877,16.982159111020803,1605.3559096063811,1605.3559096063811,0.12333396747325877,16.982159111020803
1699195.2868439204,0.35677347402902015,1.0,3.5,0.1842430760378609,0.05264087886796025,9.810146366754015,485484.3676696915,485484.3676696915,0.05264087886796025,9.810146366754015
809708.6208558505,0.28054351356153084,1.0,5.0,0.1430871595809312,0.028617431916186244,17.82254715685438,161941.72417117012,161941.72417117012,0.028617431916186244,17.82254715685438
66506.5370288726,0.22163168951712658,1.0,14.0,0.28473883731746064,0.020338488379818616,63.1678620981597,4750.466930633756,4750.466930633756,0.020338488379818616,63.1678620981597
364805.75905549095,0.262050212205414,1.0,7.0,0.35492784918966763,0.0507039784556668,26.712437822843246,52115.108436498704,52115.108436498704,0.0507039784556668,26.712437822843246
3215.7688614760655,1.626012551320891,1.0,15.0,6.422107280105117,0.42814048534034116,9.225021041697836,214.38459076507104,214.38459076507104,0.42814048534034116,9.225021041697836
217292.4883989608,0.13215136777112757,1.0,10.0,0.15227467188873148,0.015227467188873148,75.67080211624416,21729.24883989608,21729.24883989608,0.015227467188873148,75.67080211624416
519735.2760476701,0.5911316637817791,1.0,4.5,0.32381939908650664,0.07195986646366814,7.612517271044393,115496.72801059335,115496.72801059335,0.07195986646366814,7.612517271044393
1518598.2078940177,0.508292792654913,1.0,3.5,0.2715870882238325,0.077596310921095,6.885795058629128,433885.2022554336,433885.2022554336,0.077596310921095,6.885795058629128
31738.249436061968,0.08569594869176048,1.0,6.0,0.09372782647487667,0.015621304412479444,70.01497843942872,5289.708239343661,5289.708239343661,0.015621304412479444,70.01497843942872
1578341.2164867574,0.371948039232242,1.0,5.5,0.19263659718498635,0.0350248358518157,14.787011678708794,286971.1302703195,286971.1302703195,0.0350248358518157,14.787011678708794
86602.79121965355,0.6706845699908969,1.0,10.0,1.8990425309972678,0.1899042530997268,14.910138755891953,8660.279121965355,8660.279121965355,0.1899042530997268,14.910138755891953
154668.2142219396,0.086908873844376,1.0,15.0,0.09518094235598058,0.006345396157065372,172.59457333275148,10311.214281462639,10311.214281462639,0.006345396157065372,172.59457333275148
456629.0139275647,0.20487869133392797,1.0,6.0,0.2575636605457614,0.0429272767576269,29.285622438014855,76104.83565459412,76104.83565459412,0.0429272767576269,29.285622438014855
1579354.6422031457,0.48653789806234754,1.0,4.0,0.2585500014699798,0.06463750036749495,8.221353394936193,394838.6605507864,394838.6605507864,0.06463750036749495,8.221353394936193
22848.14915312192,2.018546325503379,1.0,9.0,4.078692813090229,0.4531880903433588,4.458654174189244,2538.6832392357687,2538.6832392357687,0.4531880903433588,4.458654174189244
186258.4063956052,0.395106859394659,1.0,8.0,0.6510721621061105,0.08138402026326381,20.247686947922784,23282.30079945065,23282.30079945065,0.08138402026326381,20.247686947922784
203200.53673460343,0.2135442398820407,1.0,8.0,0.27151902849750853,0.033939878562188566,37.46296319872222,25400.06709182543,25400.06709182543,0.033939878562188566,37.46296319872222
1373068.467346568,0.3709099474512573,1.0,6.5,0.19206061906607114,0.02954778754862633,17.524469334579358,211241.30266870276,211241.30266870276,0.02954778754862633,17.524469334579358
118662.63435381178,0.7324868626340066,1.0,15.0,2.627494667570488,0.17516631117136588,20.478182975269114,7910.842290254119,7910.842290254119,0.17516631117136588,20.478182975269114
309657.2307143482,0.3177195681016921,1.0,12.0,0.4656686187256293,0.03880571822713577,37.76915621438581,25804.769226195684,25804.769226195684,0.03880571822713577,37.76915621438581
976732.4810600482,0.37261665156706913,1.0,5.0,0.19300769289014658,0.03860153857802932,13.418616637158056,195346.49621200966,195346.49621200966,0.03860153857802932,13.418616637158056
303149.3039027622,0.2884418316346137,1.0,8.0,0.14728438275154737,0.01841054784394342,27.735228120913035,37893.66298784527,37893.66298784527,0.01841054784394342,27.735228120913035
310578.54629110964,0.18226493621397788,1.0,6.0,0.2228431847062612,0.03714053078437686,32.91911282900863,51763.09104851827,51763.09104851827,0.03714053078437686,32.91911282900863
220122.80459684329,0.5429188196645522,1.0,7.0,1.1269452538731966,0.16099217912474237,12.893271970798542,31446.11494240618,31446.11494240618,0.16099217912474237,12.893271970798542
122087.79838378602,0.17747064040378668,1.0,14.0,0.2157620737375127,0.01541157669553662,78.88628771579776,8720.557027413286,8720.557027413286,0.01541157669553662,78.88628771579776
