\Pi_{1}=\frac{\lambda_{TAS}*W_{TAS}}{c_{TAS}},\Pi_{2}=\frac{\mu_{TAS}}{\lambda_{TAS}},\Pi_{3}=\frac{\chi_{TAS}}{\lambda_{TAS}},\Pi_{4}=\frac{K_{TAS}}{c_{TAS}},\Pi_{5}=\frac{L_{TAS}}{c_{TAS}},O=\Pi_{Occ}=\frac{L}{K},\eta=\Pi_{Eff}=\frac{\chi}{\mu},S=\Pi_{Stall}=\ln\left(\frac{\lambda*W}{K}\right),\Pi_{Occ},\Pi_{Eff},\Pi_{Stall}
183374.17855999217,0.2898591409959642,1.0,6.0,0.1480390688864436,0.024373711159144783,0.25453301938520395,10.327524566676136,0.024373711159144783,0.25453301938520395,10.327524566676136
181726.73679833626,0.367452802843895,1.0,6.0,0.19014481093195218,0.031199011529532267,0.31294974125872144,10.318499922401088,0.031199011529532267,0.31294974125872144,10.318499922401088
209335.83524016125,0.6854132438319923,1.0,6.0,1.6432467572112954,0.24206301189832793,0.5220107823007923,10.45993563929562,0.24206301189832793,0.5220107823007923,10.45993563929562
101071.16160252242,0.05716491150137614,1.0,6.0,0.060630855844376566,0.01005442705945458,0.05559071316822893,9.731820648883566,0.01005442705945458,0.05559071316822893,9.731820648883566
43003.42126293178,0.08422258975632484,1.0,2.5,0.04218607418712996,0.016733638130382943,0.08086322304147636,9.75274422394884,0.016733638130382943,0.08086322304147636,9.75274422394884
1334080.1221493061,0.4029248831208399,1.0,3.5,0.2099674420641646,0.05826013236152403,0.3385592595022785,12.850989596742526,0.05826013236152403,0.3385592595022785,12.850989596742526
522627.30775964796,0.3922486576926317,1.0,7.0,0.6409241283104821,0.08760840601108398,0.33092017935906104,11.220713735315684,0.08760840601108398,0.33092017935906104,11.220713735315684
148863.73598068996,0.3208093242530411,1.0,10.0,0.4722998411785921,0.046148567860120095,0.2782446731484093,9.60820154994934,0.046148567860120095,0.2782446731484093,9.60820154994934
1515953.1029263437,0.29092757289936494,1.0,3.0,0.14860002639552472,0.04834562931353938,0.25536100874107603,13.132942621294678,0.04834562931353938,0.25536100874107603,13.132942621294678
100850.7447500533,0.7932892000202456,1.0,10.0,2.903242239589535,0.25489352319616804,0.5840514755486227,9.218811835190527,0.25489352319616804,0.5840514755486227,9.218811835190527
2028940.1074416721,0.36041858804813376,1.0,5.5,0.18625808656803883,0.033304309789356334,0.307792437721283,12.818276007872234,0.033304309789356334,0.307792437721283,12.818276007872234
325401.24728131876,0.6618076877775088,1.0,4.5,0.3714768759880385,0.07931975430069431,0.5079059784129792,11.18873691006833,0.07931975430069431,0.5079059784129792,11.18873691006833
