\Pi_{1}=\frac{\lambda_{TAS}*W_{TAS}}{c_{TAS}},\Pi_{2}=\frac{\mu_{TAS}}{\lambda_{TAS}},\Pi_{3}=\frac{\chi_{TAS}}{\lambda_{TAS}},\Pi_{4}=\frac{K_{TAS}}{c_{TAS}},\Pi_{5}=\frac{L_{TAS}}{c_{TAS}},O=\Pi_{Occ}=\frac{L}{K},\eta=\Pi_{Eff}=\frac{\chi}{\mu},S=\Pi_{Stall}=\ln(\frac{\lambda*W}{K}),\Pi_{Occ},\Pi_{Eff},\Pi_{Stall}
105729128.81693557,0.04970099432419787,1.0,3.5,0.008354496233235649,0.0023869989237816137,0.04970099432419787,17.223628057586794,0.0023869989237816137,0.04970099432419787,17.223628057586794
65372.251795888275,0.25582572999928715,1.0,2.5,3.6057459571153374,1.442298382846135,0.25582572999928715,10.171600672864649,1.442298382846135,0.25582572999928715,10.171600672864649
1645646.896001038,0.2706828945373511,1.0,5.0,0.31640298622762103,0.0632805972455242,0.2706828945373511,12.704209240607952,0.0632805972455242,0.2706828945373511,12.704209240607952
130242532.86892964,2.66953909861815,1.0,11.0,0.002566537303798605,0.00023332157307260045,2.66953909861815,16.28701371939254,0.00023332157307260045,2.66953909861815,16.28701371939254
17244377.048412494,0.23996131166342022,1.0,10.0,0.05762475823676935,0.005762475823676935,0.23996131166342022,14.360412166999447,0.005762475823676935,0.23996131166342022,14.360412166999447
219891.43204089583,0.21347295687630968,1.0,4.0,0.04069280564458298,0.010173201411145746,0.21347295687630968,10.914613042314505,0.010173201411145746,0.21347295687630968,10.914613042314505
1063635.9244151409,0.05034365529426963,1.0,9.0,0.05165293764946751,0.005739215294385279,0.05034365529426963,11.679987598196437,0.005739215294385279,0.05034365529426963,11.679987598196437
5303301.254911704,0.5941190683765477,1.0,2.5,3.900284117374588e-06,1.5601136469498353e-06,0.5941190683765477,14.567549802429635,1.5601136469498353e-06,0.5941190683765477,14.567549802429635
15956317.167166665,1.3195132373443834,1.0,2.0,0.001960925794017035,0.0009804628970085175,1.3195132373443834,15.892218314203479,0.0009804628970085175,1.3195132373443834,15.892218314203479
4705302.272911267,0.7003699931601094,1.0,9.0,0.027541821352725943,0.0030602023725251047,0.7003699931601094,13.16697790937531,0.0030602023725251047,0.7003699931601094,13.16697790937531
143395698.31540447,0.2759235412624768,1.0,6.0,0.004893289380124342,0.0008155482300207236,0.2759235412624768,16.989359060493527,0.0008155482300207236,0.2759235412624768,16.989359060493527
119655.75549436582,1.3283867020603632,1.0,5.5,0.005888016254074147,0.0010705484098316631,1.3283867020603632,9.987672066831449,0.0010705484098316631,1.3283867020603632,9.987672066831449
48816312.88912612,3.663142466978062,1.0,5.0,2.3800279664995103,0.4760055932999021,3.663142466978062,16.094137285469643,0.4760055932999021,3.663142466978062,16.094137285469643
1864732.7760400544,0.4619670799597859,1.0,8.0,0.0272538367638454,0.003406729595480675,0.4619670799597859,12.359191065639244,0.003406729595480675,0.4619670799597859,12.359191065639244
296140.2872539969,0.07298313995514655,1.0,10.0,0.700139354311516,0.0700139354311516,0.07298313995514655,10.296037238671753,0.0700139354311516,0.07298313995514655,10.296037238671753
488034.6633323917,0.40090512011971613,1.0,8.0,0.2290242674550193,0.028628033431877413,0.40090512011971613,11.018716564195577,0.028628033431877413,0.40090512011971613,11.018716564195577
7726784.757892833,0.15156968146368313,1.0,10.0,0.001162991131299908,0.0001162991131299908,0.15156968146368313,13.557619591888157,0.0001162991131299908,0.15156968146368313,13.557619591888157
1679773.6829761672,0.08279054138789839,1.0,2.0,0.004794891965614928,0.002397445982807464,0.08279054138789839,13.64102363986664,0.002397445982807464,0.08279054138789839,13.64102363986664
