\Pi_{1}=\frac{\lambda_{TAS}*W_{TAS}}{c_{TAS}},\Pi_{2}=\frac{\mu_{TAS}}{\lambda_{TAS}},\Pi_{3}=\frac{\chi_{TAS}}{\lambda_{TAS}},\Pi_{4}=\frac{K_{TAS}}{c_{TAS}},\Pi_{5}=\frac{L_{TAS}}{c_{TAS}},\eta=\Pi_{Eff}=\frac{\chi}{\mu},S=\Pi_{Stall}=\ln(\frac{\lambda*W}{K} + 1),O=\Pi_{Occ}=\frac{L}{K}
4459442.672189608,0.13293429654419567,1.5897832026147531,7.0,5.252860074839703,0.08361787715806505,13.364625775441791,0.7504085821199575
3883596.454927605,0.3394556444724023,1.1356494087825066,6.0,0.10658566792583497,0.29890883739931834,13.380514279376662,0.01776427798763916
162695.92995615152,0.4560942701684216,4.749516014313295,3.0,3.621332191858622,0.09602963097585546,10.901044427726683,1.2071107306195406
1449596.5711233604,278.56830119180427,1.342525167357424,2.0,0.02648784626885738,207.49577584465518,13.493650048006337,0.01324392313442869
45195.911736428476,8.632912582194932,3.2699845680178337,5.5,0.2015583138026542,2.6400468878750534,9.01413550620098,0.036646966145937133
42316.86863059137,0.18489588188457226,1.3487738763135264,9.0,66666666.111114755,0.13708441802708274,8.455929152327329,7407407.345679417
2011210.0340591043,0.7835598460444787,0.3751302341292949,2.5,1.7533285183401013,2.0887675126031344,13.597957617054172,0.7013314073360406
15535.23553042374,10.348896654973608,0.8073660083981667,4.5,1.6535779256789325,12.81809804639418,8.147078208366295,0.367461761261985
273597.1141004705,0.04476625755835949,1.1018371400254698,10.0,3.558919704955284,0.04062874260829934,10.21686337322765,0.3558919704955284
1660403.667919689,0.8460288967201104,0.12371507830563976,11.0,1.254798666308396,6.8385269468122925,11.924682656291163,0.11407260602803601
6445.027704368545,14.271046781365833,1.2791740900932145,4.5,0.00017872272475122732,11.15645391185643,7.267684786203619,3.971616105582829e-05
4471222.866911177,0.3936397348770261,41.527329865036414,9.0,90945454.99902125,0.009479052377226106,13.115949936725583,10105050.555446805
11513.92762219239,0.24018619295226426,2.8420109970029594,1.5,0.006229162630628833,0.08451275987515616,8.945977839557171,0.004152775087085888
143547.54852789658,0.2191803439849586,0.9735085408395326,2.5,0.46387703380861467,0.22514475712348886,10.958148291730703,0.18555081352344588
193311.83944022187,0.4512808049694182,1.258338430538547,8.0,0.09016303136976259,0.3586322995605227,10.09265975373995,0.011270378921220323
79734.40804067743,0.8135063736071297,1.30036629861069,4.0,0.2329924391667623,0.6255978599847436,9.900212295240411,0.058248109791690574
2531003.0528965057,1.313337209742178,14.437117709584305,4.0,0.15361951013046182,0.09096948824281585,13.357833465008191,0.038404877532615456
199066.71697338944,0.06793648459731179,3.456202685249472,9.0,2.705255120325906,0.019656394831024812,10.004215941306937,0.30058390225843395
250128.43167679934,3.0886217187121177,0.12675554681161147,11.0,0.3567491212529356,24.36675787689619,10.031878495281475,0.03243173829572142
40423.33321840052,0.6327316276557824,9.475584662612965,1.5,0.17795314069319842,0.0667749432024284,10.201734450624254,0.11863542712879895
522509.5734205175,1.4110397826642262,4.692754194509114,2.5,69.0421569837252,0.300684784281958,12.250112637704898,27.616862793490085
137598.03571894998,0.30376927861649516,3.7191339334155327,4.5,0.16434614779602313,0.08167742384515936,10.328047235725352,0.03652136617689403
470924.7708614708,0.43143334489794977,11.238770798143944,5.5,0.33203532391516205,0.03838794763651554,11.3577172249203,0.060370058893665826
4128589.4108093083,1.688144306412137,3.23017826035233,7.0,1.0547284713297334,0.5226164534424189,13.287537906014805,0.1506754959042476
2072343.8770939403,0.5213256589531536,0.8063421667652246,1.5,0.1754866552674824,0.6465315599760062,14.138726448149132,0.11699110351165493
98249.89483417588,0.035289738943081614,1.724709080848634,2.5,0.20802202422295882,0.020461270445516228,10.579004172462843,0.08320880968918354
301808.0590005746,0.44207672101264406,3.430740158053492,11.0,1.351457431895492,0.12885753529741706,10.219687701618911,0.12285976653595382
2275.2122055108716,2.8802335645056476,1.4703911544746253,9.0,0.8342231626494444,1.95882133522135,5.536551898717054,0.09269146251660493
2093000.4678355702,0.39974532721045114,3.306567038223952,5.0,0.28582662011265064,0.12089436644997385,12.944673701429979,0.057165324022530134
1828673.7356059656,0.5829580626666513,3.1808634871261163,11.0,1.8921714047208888,0.183270380834026,12.021212269900936,0.17201558224735353
889644.2496654504,0.30863486863996703,3.06797703880712,6.0,12.231310274627743,0.10059881959219921,11.906824217340228,2.038551712437957
2289824.2157206084,0.36984862145228364,0.889275176817352,3.0,13.176966009529188,0.41589896029252005,13.545374632365304,4.392322003176396
836477.9564230207,0.4534272307161108,20.47104280866568,11.0,0.15485170889057037,0.022149688951076232,11.239073324399193,0.014077428080960944
0.0013729427971619608,0.520568467298073,6.525670204778803,6.0,0.19958579674266758,0.07977241432103883,0.00022879762335439684,0.03326429945711126
38942.19398174326,0.4535341680230976,1.8441164612778662,6.0,90031499.77422401,0.24593575164381135,8.77822821338975,15005249.962370668
14997.58808346913,0.4659028650856838,0.6862151396823841,2.5,0.22801036299291136,0.6789457680886022,8.699520620424225,0.09120414519716455
532286.0168425114,0.04505911412926861,6.681289567614956,1.5,0.09703936185474914,0.006744074429534644,12.7794739594204,0.06469290790316609
2079249.3604628467,0.4105829465745708,1.57155450356362,6.0,0.5170588906074935,0.26125911996277734,12.75576091857475,0.08617648176791559
2914965.906280967,1.0500105413551373,9.077865125192726,4.0,0.2117415667463669,0.11566712292752258,13.49907569284774,0.052935391686591726
39335.14961288133,2.795138230470081,3.182860985554811,2.0,1.9567622223706558,0.8781842006784517,9.886777453569522,0.9783811111853279
0.0001170386107929532,0.16247683334492374,1.409105200372319,2.0,0.24729477571457167,0.11530497034713484,5.8517593208821e-05,0.12364738785728584
411285.0180716774,0.015385909121871188,2.1801538032795094,3.5,4.193738569665161,0.007057258574476187,11.674287269145001,1.1982110199043317
1650.0186053624316,3.3295222233390103,1.4202474672930785,7.0,1.259421000079096,2.344325408081815,5.466865096650054,0.17991728572558513
369757.0272505038,0.42734855897335694,0.032997910514342484,3.0,88915554.81402713,12.950776346508688,11.721997210537909,29638518.271342374
22768.37507183332,0.28869907602302436,0.08588007227001972,10.0,0.17218190689396523,3.361653855102864,7.7309818101123255,0.017218190689396524
108256.63390065751,0.27949350918643684,2.7621438279726966,1.5,1.7367814469912317,0.10118716714023321,11.18680867489359,1.1578542979941544
31086.615845301592,0.4833094360884739,10.595451546245648,10.0,0.3430666076134583,0.04561480310480282,8.042269183988855,0.03430666076134583
50451.51925324356,3.7583646237405084,0.04554677865166907,5.0,0.9968804398648062,82.516584816757,9.219429327065477,0.19937608797296125
3304083.8775012004,0.2740754536711907,3.3475461823026746,2.5,87521873.90582028,0.08187353922707126,14.094379824718622,35008749.562328115
2097.993375231094,1.05914736229865,3.1039468001314368,4.0,0.04120096083996747,0.34122600369755063,6.264347038661751,0.010300240209991868
1707067.186591339,0.41973201426218565,0.8318602578427496,4.0,10.355951715625293,0.5045703413583793,12.963995342535446,2.5889879289063233
228879.90954921485,0.23167716450428136,6.285564852216101,5.0,0.8429420719843679,0.036858606975091336,10.73153666537972,0.16858841439687358
1340915.257678471,0.15971063327373541,0.5830297877654741,2.0,0.07255993231086347,0.273932201450365,13.41571727784532,0.036279966155431734
510883.6761116744,0.8884609546418871,2.6339837624298723,1.5,0.023722282626985437,0.33730692167300014,12.73843503154545,0.015814855084656958
574499.3961807799,1.2575543976136023,5.729598465670561,3.5,0.1416750749645995,0.21948386176594403,12.00849744898268,0.04047859284702843
614637.6190465468,0.2508714560639425,3.2556067596014895,3.0,0.7120050485089513,0.07705827963529939,12.230180728042212,0.23733501616965041
1015417.899221295,0.30133837615463105,11.185864681640934,6.0,2.1642229313823558,0.026939211650683546,12.039057248745655,0.3607038218970593
60125.38048605743,0.48374050421484127,0.9009320314229942,5.0,1.9668957198063686,0.5369334060093169,9.394832579303715,0.3933791439612737
51521.351422901585,0.1831335388656041,0.5193051640567358,4.0,6.615485774088621,0.35265110293722435,9.463534865050281,1.6538714435221553
3210073.0112022175,0.04371301317888923,4.523271729404483,1.5,85731427.28542247,0.009664025465179013,14.576339598941164,57154284.856948316
34443.26507751042,0.1682045332811866,1.447525764559164,3.0,0.6316924894002176,0.1162014089140668,9.348543566149125,0.21056416313340587
625414.1030412829,0.16290415898645907,37.20464114650635,4.5,256.73987611064183,0.004378597776147517,11.842099072615927,57.05330580236485
