_idx,dm,_sym,_alias,_fwk,name,description,relevant,_cat,_dims,_units,_min,_max,_mean,_std_units,_std_min,_std_max,_std_mean,_dist_type,_depends,_dist_params
1,1,\lambda_{1},lambda_tas_1,CUSTOM,TAS 1 arrival rate,Arrival rate for TAS 1,TRUE,IN,E*T^-1,req/s,0.1,690,345.05,req/s,0.1,690,345.05,uniform,[],"{'low': 0.1, 'high': 690}"
2,1,\mu_{1},mu_tas_1,CUSTOM,TAS 1 service rate,Service rate for TAS 1,TRUE,CTRL,E*T^-1,req/s,0.1,1800,900.05,req/s,0.1,1800,900.05,uniform,[],"{'low': 0.1, 'high': 1800}"
3,1,err_{1},err_tas_1,CUSTOM,TAS 1 error probability,Service error probability for TAS 1,FALSE,CTRL,E*T^-1,n.a.,0.00%,0.00%,0,n.a.,0,0,0,constant,[],{'constant': 0}
4,1,\chi_{1},chi_tas_1,CUSTOM,TAS 1 departure rate,Departure rate for TAS 1,TRUE,CTRL,E*T^-1,req/s,0.1,690,345.05,req/s,0.1,690,345.05,adjusted_rate,"['\mu_{1}' , 'err_{1}']",{}
5,1,c_{1},c_tas_1,CUSTOM,TAS 1 resourses,Number of resources allocated in TAS 1,TRUE,IN,E,req,1,3,2,req,1,3,2,uniform_int,[],"{'low': 1, 'high': 3}"
6,1,K_{1},K_tas_1,CUSTOM,TAS 1 q-capacity,Allocated request capacity in TAS 1 memory buffer,TRUE,CTRL,E,req,1,11,6,req,1,11,6,shifted_uniform_int,['c_{1}'],"{'low': 1, 'high': 11}"
7,1,\delta_{1},delta_tas_1,CUSTOM,TAS 1 req data density,Data density for request in TAS 1 expected data per requests,FALSE,IN,D*E^-1,kB/req,128,2000,1064,bit/req,131072000,2048000000,1089536000,uniform,[],"{'low': 131072000, 'high': 2048000000}"
8,1,L_{1},L_tas_1,CUSTOM,TAS 1 mean processing requests,Average number of request in TAS 1 component,TRUE,CTRL,E,req,1,11,6,req,1,11,6,queue_length,"['\lambda_{1}' , '\mu_{1}' , 'c_{1}' , 'K_{1}']",{}
9,1,Lq_{1},Lq_tas_1,CUSTOM,TAS 1 mean in memory requests,Average number of request in TAS 1 memory,FALSE,CTRL,E,req,1,11,6,req,1,11,6,queue_length,"['\lambda_{1}' , '\mu_{1}' , 'c_{1}' , 'K_{1}']",{}
10,1,W_{1},W_tas_1,CUSTOM,TAS 1 mean time to answer,Average time to complete a request in TAS 1,TRUE,OUT,T,s,0,0.001801802,0.001801802,s,0,0.001801802,0.001801802,queue_time,"['\chi_{1}' , 'L_{1}']",{}
